"year","values","rank"
1998,6.25194515729998,1
2005,5.55010247672652,2
1996,5.39110100027788,3
1995,5.00233952660154,4
2006,4.62166254009519,5
2000,4.50213314555995,6
2003,4.20398051611015,7
1993,4.05856333744641,8
2001,3.98433800852233,9
1997,3.86730821934211,10
1992,3.79198899889713,11
1999,3.38125731607715,12
2004,3.2367571471566,13
2007,3.19059077015781,14
1994,2.87092369131662,15
2002,2.61814245000318,16
1990,2.48316407588485,17
1991,2.34467353929694,18
